Fav_Pub,Gender,Age
37 pub,Female,1
37 pub,Male,2
Barcode,Male,1
Beatles,Female,1
Beer Academy,Male,1
Bob's,Female,2
BullDog,Female,1
Bulldog,Male,2
Calumet,Female,20
Calumet,Male,7
Cantaloupe,Female,6
Cantaloupe,Male,3
DAS,Female,1
DAS,Male,1
DAS ,Female,1
Dargett,Male,1
Do not have one,Female,1
Eden,Female,1
Fiction,Female,1
Fiction,Male,2
Hemingway,Female,2
Hemingway,Male,1
I don't like pubs,Female,12
I don't like pubs,Male,4
I have none,Female,1
Irish,Female,7
Irish,Male,9
Liberty,Female,1
Liberty,Male,3
Liberty ,Female,3
Paparazzi ,Female,2
Paulaner,Male,2
Pechenu bagher,Female,1
Pepper,Female,8
Pepper,Male,2
Pub 007,Male,1
Pub 37,Female,2
Pub 37,Male,1
Red bull,Male,1
Simona,Female,1
Speak Easy ,Female,1
Station,Female,11
Station,Male,15
The beatles,Male,1
Tom Collins,Female,1
Tom Collins,Male,1
Tom Collins ,Male,1
Tom collins,Female,1
Ulixanyan art club,Female,1
Ulixanyan art club,Male,1
VOID,Male,1
Varonna,Female,1
Venue,Female,5
Venue,Male,2
Venue ,Male,1
Void,Female,1
Wild west,Female,1
Yankee,Male,1
kaptyorka,Male,1
